Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM10,PM25
11/25/2023,54,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,27,16,54
11/25/2024,46,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,22,46
11/26/2021,31,Ozone,QUAPAW SHELTER,40-115-9004,AQS,31,.,29
11/26/2022,68,PM2.5,,40-115-9007,AQS,20,22,68
11/26/2023,43,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,28,10,43
11/26/2024,38,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,28,38
11/27/2021,32,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,31,.,32
11/27/2022,60,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,19,13,60
11/27/2023,61,PM2.5,,40-115-9007,AQS,32,23,61
11/27/2024,48,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,21,20,48
11/28/2021,28,Ozone,QUAPAW SHELTER,40-115-9004,AQS,28,.,25
11/28/2022,57,PM2.5,,40-115-9007,AQS,33,17,57
11/28/2023,53,PM2.5,,40-115-9007,AQS,31,33,53
11/28/2024,48,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,21,18,48
11/29/2021,36,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,34,.,36
11/29/2022,38,PM2.5,,40-115-9007,AQS,33,15,38
11/29/2023,34,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,32,19,34
11/29/2024,48,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,28,17,48
11/30/2021,52,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,33,.,52
11/30/2022,24,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,24,13,24
11/30/2023,53,PM2.5,,40-115-9007,AQS,32,14,53
11/30/2024,42,PM2.5,,40-115-9007,AQS,32,14,42
12/13/2021,60,PM2.5,,40-115-9007,AQS,.,22,60
12/13/2022,25,PM2.5,,40-115-9007,AQS,.,8,25
12/13/2023,69,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,45,69
12/13/2024,34,PM2.5,,40-115-9007,AQS,.,20,34
12/14/2021,60,PM2.5,,40-115-9007,AQS,.,24,60
12/14/2022,65,PM2.5,,40-115-9007,AQS,.,28,65
12/14/2023,52,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,27,52
12/14/2024,31,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,9,31
12/15/2021,53,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,17,53
12/15/2022,55,PM2.5,,40-115-9007,AQS,.,26,55
12/15/2023,49,PM2.5,,40-115-9007,AQS,.,22,49
12/15/2024,43,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,12,43
12/16/2021,55,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,13,55
12/16/2022,32,PM2.5,,40-115-9007,AQS,.,23,32
12/16/2023,46,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,10,46
12/16/2024,20,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,10,20
12/17/2021,60,PM2.5,,40-115-9007,AQS,.,22,60
12/17/2022,26,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,14,26
12/17/2023,41,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,11,41
12/17/2024,46,PM2.5,,40-115-9007,AQS,.,17,46
12/18/2021,60,PM2.5,,40-115-9007,AQS,.,21,60
12/18/2022,47,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,16,47
12/18/2023,23,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,8,23
12/18/2024,34,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,12,34
12/19/2021,61,PM2.5,,40-115-9007,AQS,.,22,61
12/19/2022,33,PM2.5,,40-115-9007,AQS,.,12,33
12/19/2023,33,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,16,33
12/19/2024,54,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,19,54
12/20/2021,59,PM2.5,,40-115-9007,AQS,.,20,59
12/20/2022,69,PM2.5,,40-115-9007,AQS,.,26,69
12/20/2023,42,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,15,42
12/20/2024,47,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,19,47
12/21/2021,58,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,19,58
12/21/2022,71,PM2.5,,40-115-9007,AQS,.,30,71
12/21/2023,53,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,22,53
12/21/2024,56,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,22,56
12/22/2021,61,PM2.5,,40-115-9007,AQS,.,22,61
12/22/2022,49,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,.,49
12/22/2023,57,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,15,57
12/22/2024,52,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,14,52
12/23/2021,61,PM2.5,,40-115-9007,AQS,.,23,61
12/23/2022,21,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,.,21
12/23/2023,56,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,16,56
12/23/2024,52,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,25,52
12/24/2021,53,PM2.5,,40-115-9007,AQS,.,17,53
12/24/2022,24,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,.,24
12/24/2023,20,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,6,20
12/24/2024,66,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,25,66
12/25/2021,61,PM2.5,,40-115-9007,AQS,.,25,61
12/25/2022,43,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,.,43
12/25/2023,7,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,2,7
12/25/2024,83,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,37,83
12/26/2021,57,PM2.5,,40-115-9007,AQS,.,20,57
12/26/2022,40,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,.,40
12/26/2023,10,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,6,10
12/26/2024,48,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,13,48
12/27/2021,59,PM2.5,,40-115-9007,AQS,.,22,59
12/27/2022,52,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,.,52
12/27/2023,26,PM2.5,,40-115-9007,AQS,.,6,26
12/27/2024,39,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,9,39
12/28/2021,57,PM2.5,,40-115-9007,AQS,.,21,57
12/28/2022,54,PM2.5,,40-115-9007,AQS,.,28,54
12/28/2023,49,PM2.5,,40-115-9007,AQS,.,11,49
12/28/2024,54,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,14,54
12/29/2021,56,PM2.5,,40-115-9007,AQS,.,19,56
12/29/2022,46,PM2.5,,40-115-9007,AQS,.,29,46
12/29/2023,37,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,10,37
12/29/2024,36,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,8,36
12/30/2021,60,PM2.5,,40-115-9007,AQS,.,22,60
12/30/2022,41,PM2.5,,40-115-9007,AQS,.,12,41
12/30/2023,34,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,14,34
12/30/2024,46,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,15,46
12/31/2021,54,PM2.5,,40-115-9007,AQS,.,18,54
12/31/2022,58,PM2.5,,40-115-9007,AQS,.,21,58
12/31/2023,44,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,10,44
12/31/2024,22,PM2.5,,40-115-9007,AQS,.,6,22
